timestamp,open,high,low,volume,close
1615809600000,0.17445,0.1695,0.19,57036,0.1829
1615810800000,0.185,0.185,0.185,1500,0.185
1615811100000,0.187,0.186,0.187,26550,0.186
1615811700000,0.1889,0.1889,0.19,48937,0.19
1615812000000,0.1899,0.188,0.19,45000,0.188
1615813200000,0.195,0.195,0.1998,6565,0.1998
1615814100000,0.19,0.19,0.19,22825,0.19
1615814400000,0.193,0.193,0.1997,50500,0.1948
1615814700000,0.1975,0.1975,0.203,80000,0.203
1615815000000,0.207,0.205,0.28,15490767,0.2799
1615815300000,0.28,0.232,0.28,15877922,0.2519
1615815600000,0.25195,0.22,0.252,7358932,0.2243
1615815900000,0.22365,0.222,0.243,5543245,0.24055
1615816200000,0.24046,0.235,0.252,6024769,0.2474
1615816500000,0.2474,0.245,0.252,4010446,0.249
1615816800000,0.249,0.24,0.2499,2512449,0.2475
1615817100000,0.248,0.245,0.248,1797307,0.246
1615817400000,0.2459,0.243,0.2459,1591284,0.2447
1615817700000,0.2447,0.241,0.255,8949675,0.2539
1615818000000,0.254,0.253,0.273,5763230,0.2682
1615818300000,0.27,0.27,0.2785,8672412,0.278
1615818600000,0.278,0.271,0.287,9068965,0.27105
1615818900000,0.271,0.2626,0.2761,4131932,0.267
1615819200000,0.2675,0.26538,0.2799,2355630,0.277135
1615819500000,0.2773,0.2715,0.2799,1999539,0.275
1615819800000,0.2769,0.2731,0.2769,1253829,0.2739
1615820100000,0.2739,0.271,0.2747,2037129,0.273
1615820400000,0.271,0.271,0.28445,3253427,0.284
1615820700000,0.28435,0.275,0.2844,2204048,0.2766
1615821000000,0.2757,0.265,0.2766,4657947,0.266
1615821300000,0.2679,0.2655,0.272,1245362,0.26932
1615821600000,0.269,0.269,0.2761,1619657,0.276
1615821900000,0.276,0.2701,0.27605,918030,0.2701
1615822200000,0.2703,0.2701,0.2715,735400,0.27013
1615822500000,0.2701,0.2701,0.274,868254,0.2739
1615822800000,0.272,0.2716,0.2748,629769,0.2719
1615823100000,0.2719,0.26718,0.2746,1017632,0.268
1615823400000,0.268,0.2521,0.2695,2906397,0.2521
1615823700000,0.2521,0.2405,0.2549,4423559,0.2465
1615824000000,0.243,0.243,0.2499,2030973,0.24852
1615824300000,0.2488,0.2453,0.2498,538497,0.246
1615824600000,0.2465,0.2453,0.2489,894948,0.24618
1615824900000,0.2464,0.246,0.2498,721256,0.2498
1615825200000,0.2497,0.247,0.2499,1702348,0.2471
1615825500000,0.247,0.242,0.247,1012293,0.246
1615825800000,0.2459,0.245,0.2489,761531,0.2475
1615826100000,0.2469,0.2469,0.2489,327353,0.2489
1615826400000,0.2489,0.2455,0.255,1816952,0.2549
1615826700000,0.253,0.2515,0.2549,1155696,0.2518
1615827000000,0.2515,0.2515,0.2544,680161,0.2542
1615827300000,0.2542,0.2515,0.2551,909417,0.25164
1615827600000,0.252,0.2501,0.252,691478,0.2517
1615827900000,0.2519,0.248,0.2519,1550079,0.2488
1615828200000,0.24922,0.24658,0.2495,554303,0.2488
1615828500000,0.24875,0.2485,0.2515,984705,0.25
1615828800000,0.25,0.2471,0.25,214583,0.2471
1615829100000,0.2482,0.2451,0.249,692026,0.24515
1615829400000,0.2451,0.242,0.2452,1555850,0.2445
1615829700000,0.2445,0.2441,0.2479,576077,0.2478
1615830000000,0.2479,0.245,0.249,464546,0.2479
1615830300000,0.2455,0.2451,0.2489,475692,0.2489
1615830600000,0.2489,0.2452,0.2489,240403,0.246
1615830900000,0.247,0.241,0.2473,593977,0.244485
1615831200000,0.243,0.232,0.2444,4276740,0.232
1615831500000,0.232,0.2302,0.2389,4236308,0.23205
1615831800000,0.2321,0.231,0.239,1142235,0.236
1615832100000,0.239,0.2371,0.2409,522802,0.2401
1615832400000,0.2401,0.236,0.2409,1349857,0.2371
1615832700000,0.2371,0.2371,0.24,569494,0.2385
1615833000000,0.2385,0.2376,0.2408,550217,0.239
1615833300000,0.23944,0.23672,0.2399,328500,0.2369
1615833600000,0.2369,0.2338,0.238,532016,0.2375
1615833900000,0.23745,0.23718,0.23855,272179,0.23855
1615834200000,0.2381,0.2351,0.239,278642,0.2355
1615834500000,0.2359,0.23518,0.2359,194333,0.23565
1615834800000,0.23575,0.2331,0.2359,662809,0.2335
1615835100000,0.2335,0.2331,0.2408,2012032,0.24
1615835400000,0.24,0.24,0.2469,2750441,0.2467
1615835700000,0.246675,0.2405,0.2469,431450,0.2417
1615836000000,0.2425,0.24,0.246,217837,0.243
1615836300000,0.243,0.242,0.246,797851,0.244
1615836600000,0.244,0.243,0.2469,944537,0.244
