timestamp,open,high,low,volume,close
1616497200000,1.13,1.13,1.13,2856,1.13
1616497500000,1.13,1.13,1.13,3700,1.13
1616497800000,1.12,1.12,1.13,4811,1.13
1616498100000,1.12,1.12,1.12,1000,1.12
1616498400000,1.13,1.13,1.13,1800,1.13
1616498700000,1.12,1.11,1.12,9003,1.12
1616499000000,1.12,1.11,1.12,4436,1.11
1616499300000,1.11,1.11,1.11,22041,1.11
1616499600000,1.12,1.12,1.12,13142,1.12
1616499900000,1.12,1.12,1.12,10059,1.12
1616500200000,1.11,1.11,1.11,1100,1.11
1616500500000,1.12,1.12,1.12,7280,1.12
1616500800000,1.11,1.11,1.12,37187,1.11
1616501100000,1.12,1.11,1.12,3100,1.11
1616501400000,1.1199,1.1199,1.12,8177,1.12
1616501700000,1.11,1.11,1.12,39201,1.1199
1616502000000,1.12,1.11,1.12,2179,1.115
1616502300000,1.12,1.1199,1.13,17324,1.12
1616502600000,1.12,1.12,1.13,7384,1.13
1616502900000,1.13,1.13,1.13,200,1.13
1616503200000,1.13,1.13,1.14,6970,1.13
1616503500000,1.13,1.13,1.1301,6713,1.1301
1616503800000,1.13,1.13,1.1301,21550,1.13
1616504100000,1.13,1.13,1.14,13036,1.13
1616504400000,1.14,1.13,1.14,9943,1.14
1616504700000,1.13,1.13,1.16,46611,1.15
1616505000000,1.16,1.14,1.16,44650,1.14
1616505300000,1.14,1.14,1.15,23629,1.15
1616505600000,1.15,1.15,1.16,35955,1.15
1616505900000,1.15,1.15,1.17,30903,1.17
1616506200000,1.19,1.14,1.19,904021,1.157
1616506500000,1.16,1.14,1.16,255219,1.14
1616506800000,1.1496,1.13,1.15,590292,1.1373
1616507100000,1.1309,1.13,1.14,226421,1.1373
1616507400000,1.13,1.13,1.14,246239,1.13
1616507700000,1.1308,1.12,1.14,288466,1.13
1616508000000,1.1209,1.12,1.15,610095,1.14
1616508300000,1.1391,1.12,1.14,119317,1.13
1616508600000,1.125,1.12,1.13,190724,1.12
1616508900000,1.1272,1.12,1.13,180946,1.1297
1616509200000,1.1273,1.1,1.13,839945,1.11
1616509500000,1.1019,1.1,1.11,257595,1.105
1616509800000,1.105,1.08,1.11,944227,1.08
1616510100000,1.09,1.08,1.09,408655,1.09
1616510400000,1.0804,1.07,1.09,530234,1.077
1616510700000,1.07,1.07,1.1,523081,1.08
1616511000000,1.07,1.07,1.09,344829,1.085
1616511300000,1.0888,1.08,1.09,279257,1.0897
1616511600000,1.08,1.08,1.09,197621,1.0814
1616511900000,1.0897,1.08,1.099,287114,1.09
1616512200000,1.0897,1.08,1.1,434704,1.0897
1616512500000,1.0898,1.08,1.095,408028,1.0875
1616512800000,1.085,1.08,1.09,93006,1.09
1616513100000,1.0893,1.08,1.0989,345208,1.095
1616513400000,1.095,1.09,1.1,50234,1.095
1616513700000,1.095,1.08,1.1,323338,1.0812
1616514000000,1.0811,1.08,1.09,78726,1.085
