timestamp,open,high,low,volume,close
1615892400000,1.28,1.28,1.3,6121,1.28
1615892700000,1.28,1.28,1.28,100,1.28
1615894500000,1.29,1.29,1.29,100,1.29
1615895400000,1.29,1.29,1.29,1901,1.29
1615896000000,1.29,1.2899,1.29,2251,1.29
1615896300000,1.29,1.29,1.29,3312,1.29
1615896900000,1.28,1.28,1.29,6300,1.29
1615897200000,1.2899,1.28,1.2899,3200,1.28
1615897500000,1.28,1.27,1.28,300,1.27
1615897800000,1.28,1.27,1.28,500,1.27
1615898100000,1.27,1.27,1.28,3600,1.27
1615898400000,1.28,1.28,1.28,18100,1.28
1615898700000,1.28,1.28,1.28,4205,1.28
1615899300000,1.28,1.28,1.28,3495,1.28
1615899600000,1.28,1.27,1.28,10799,1.27
1615899900000,1.27,1.27,1.27,14487,1.27
1615900200000,1.27,1.26,1.2701,38069,1.27
1615900500000,1.28,1.27,1.28,1400,1.27
1615900800000,1.28,1.27,1.28,17850,1.27
1615901100000,1.27,1.27,1.28,840,1.28
1615901400000,1.28,1.26,1.28,234439,1.2601
1615901700000,1.26,1.26,1.27,192214,1.265
1615902000000,1.2605,1.2401,1.2689,360711,1.2401
1615902300000,1.24,1.22,1.26,384093,1.2301
1615902600000,1.23,1.21,1.23,305965,1.225
1615902900000,1.2204,1.2204,1.25,60027,1.2499
1615903200000,1.25,1.22,1.25,58475,1.22
1615903500000,1.2284,1.22,1.23,75578,1.2209
1615903800000,1.2291,1.229,1.24,29517,1.24
1615904100000,1.24,1.23,1.26,109488,1.2584
1615904400000,1.25,1.25,1.26,11855,1.2501
1615904700000,1.2511,1.25,1.26,17130,1.26
1615905000000,1.26,1.25,1.26,13598,1.258
1615905300000,1.26,1.25,1.265,65666,1.255
1615905600000,1.26,1.25,1.26,119944,1.255
1615905900000,1.25,1.245,1.26,257146,1.26
1615906200000,1.26,1.2501,1.265,160674,1.26
1615906500000,1.2504,1.25,1.26,7982,1.2599
1615906800000,1.255,1.24,1.26,46629,1.24
1615907100000,1.2408,1.23,1.245,110902,1.2384
1615907400000,1.23,1.23,1.24,14851,1.24
1615907700000,1.235,1.23,1.245,60026,1.23
1615908000000,1.24,1.2398,1.25,40546,1.24
1615908300000,1.24,1.23,1.2487,87472,1.2301
1615908600000,1.2392,1.2392,1.255,35200,1.25
1615908900000,1.24,1.24,1.25,19289,1.24
1615909200000,1.24,1.24,1.245,900,1.24
1615909500000,1.25,1.2416,1.3,355569,1.2501
1615909800000,1.2501,1.25,1.26,5928,1.2584
1615910100000,1.26,1.2597,1.27,31687,1.26
1615910400000,1.26,1.25,1.26,62693,1.26
1615910700000,1.2508,1.25,1.26,9804,1.26
1615911000000,1.25,1.24,1.27,92543,1.245
1615911300000,1.245,1.23,1.25,143983,1.23
1615911600000,1.2301,1.23,1.24,52969,1.23
1615911900000,1.235,1.23,1.24,28718,1.2399
1615912200000,1.24,1.2395,1.25,30425,1.2416
1615912500000,1.245,1.24,1.25,10364,1.25
1615912800000,1.25,1.24,1.255,90274,1.245
1615913100000,1.245,1.24,1.25,6421,1.24
1615913400000,1.245,1.24,1.255,54647,1.24
1615913700000,1.2499,1.24,1.25,2680,1.25
1615914000000,1.25,1.24,1.25,14948,1.25
1615914300000,1.25,1.24,1.25,24780,1.25
1615914600000,1.2441,1.24,1.25,6651,1.24
1615914900000,1.24,1.24,1.2493,1400,1.2493
1615915200000,1.25,1.24,1.25,10647,1.25
1615915500000,1.25,1.2404,1.25,30532,1.244
1615915800000,1.245,1.2401,1.26,86118,1.26
1615916100000,1.26,1.25,1.26,53009,1.255
1615916400000,1.2511,1.24,1.2511,14975,1.245
1615916700000,1.245,1.24,1.25,24700,1.25
1615917000000,1.24,1.24,1.25,16838,1.25
1615917300000,1.25,1.24,1.25,7669,1.25
1615917600000,1.25,1.24,1.25,8338,1.25
1615917900000,1.245,1.24,1.26,67421,1.2508
1615918200000,1.2505,1.24,1.255,31215,1.241
1615918500000,1.245,1.24,1.247,10671,1.2419
1615918800000,1.24,1.23,1.24,130753,1.23
1615919100000,1.2315,1.22,1.2378,51649,1.22
1615919400000,1.225,1.21,1.2301,174176,1.2301
