timestamp,open,high,low,volume,close
1615809600000,4.2,4.2,4.2,276,4.2
1615812600000,4.23,4.23,4.23,100,4.23
1615813200000,4.17,4.12,4.17,4151,4.16
1615813800000,4.14,4.14,4.18,530,4.18
1615814700000,4.18,4.18,4.39,14952,4.39
1615815000000,4.38,4.17,4.39,41331,4.32
1615815300000,4.27,4.23,4.33,31679,4.23
1615815600000,4.21,4.16,4.24,23305,4.16
1615815900000,4.16,4.16,4.24,10898,4.17
1615816200000,4.18,4.17,4.25,11048,4.225
1615816500000,4.215,4.215,4.24,7243,4.23
1615816800000,4.234,4.22,4.235,3945,4.22
1615817100000,4.22,4.22,4.24,7250,4.22
1615817400000,4.22,4.21,4.24,5618,4.24
1615817700000,4.25,4.22,4.25,3589,4.22
1615818000000,4.24,4.22,4.24,4984,4.225
1615818300000,4.221,4.22,4.23,3638,4.23
1615818600000,4.22,4.22,4.23,10879,4.23
1615818900000,4.23,4.22,4.25,7525,4.22
1615819200000,4.22,4.22,4.23,2154,4.22
1615819500000,4.22,4.22,4.24,3286,4.23
1615819800000,4.22,4.22,4.235,3679,4.235
1615820100000,4.23,4.22,4.24,3884,4.22
1615820400000,4.23,4.2,4.23,5537,4.2
1615820700000,4.2,4.2,4.23,3630,4.2
1615821000000,4.2,4.2,4.21,7492,4.2
1615821300000,4.21,4.2,4.22,3035,4.2
1615821600000,4.2,4.2,4.22,6552,4.22
1615821900000,4.23,4.22,4.23,4775,4.22
1615822200000,4.22,4.2,4.225,8495,4.22
1615822500000,4.21,4.2,4.22,5669,4.22
1615822800000,4.2,4.2,4.22,2260,4.21
1615823100000,4.205,4.2,4.2065,3847,4.2
1615823400000,4.2,4.2,4.21,9741,4.21
1615823700000,4.2,4.2,4.21,3783,4.2
1615824000000,4.2,4.19,4.21,4327,4.19
1615824300000,4.2,4.18,4.21,9408,4.18
1615824600000,4.19,4.17,4.19,18995,4.17
1615824900000,4.17,4.15,4.19,35079,4.16
1615825200000,4.18,4.15,4.18,7106,4.16
1615825500000,4.16,4.16,4.18,38026,4.18
1615825800000,4.16,4.16,4.18,5034,4.18
1615826100000,4.18,4.17,4.19,4047,4.19
1615826400000,4.186,4.18,4.186,2600,4.18
1615826700000,4.18,4.17,4.19,5615,4.18
1615827000000,4.18,4.18,4.19,1719,4.18
1615827300000,4.187,4.18,4.19,2935,4.18
1615827600000,4.175,4.17,4.175,3100,4.17
1615827900000,4.176,4.17,4.19,9974,4.17
1615828200000,4.17,4.16,4.18,24376,4.17
1615828500000,4.18,4.17,4.18,2475,4.17
1615828800000,4.18,4.17,4.18,4226,4.18
1615829100000,4.18,4.16,4.2,12773,4.19
1615829400000,4.19,4.17,4.21,5593,4.18
1615829700000,4.18,4.17,4.18,1740,4.18
1615830000000,4.18,4.17,4.18,6577,4.18
1615830300000,4.18,4.18,4.2,2820,4.19
1615830600000,4.195,4.19,4.21,7795,4.21
1615830900000,4.2,4.2,4.22,2100,4.22
1615831200000,4.22,4.21,4.23,6355,4.22
1615831500000,4.23,4.22,4.23,5933,4.23
1615831800000,4.23,4.21,4.23,8080,4.22
1615832100000,4.23,4.22,4.23,1550,4.22
1615832400000,4.22,4.22,4.23,4092,4.23
1615832700000,4.23,4.22,4.23,4941,4.23
1615833000000,4.23,4.23,4.25,3050,4.25
1615833300000,4.24,4.22,4.25,15431,4.22
1615833600000,4.23,4.22,4.24,8670,4.22
1615833900000,4.23,4.22,4.25,14201,4.24
1615834200000,4.24,4.23,4.28,3900,4.28
1615834500000,4.27,4.25,4.27,300,4.26
1615834800000,4.26,4.25,4.27,2536,4.25
1615835100000,4.27,4.25,4.27,2640,4.255
1615835400000,4.25,4.25,4.27,18292,4.26
1615835700000,4.26,4.25,4.27,4407,4.26
1615836000000,4.26,4.24,4.27,4236,4.27
1615836300000,4.27,4.27,4.28,599,4.28
1615836600000,4.27,4.27,4.3,2223,4.3
1615836900000,4.31,4.28,4.31,7334,4.28
1615837200000,4.3,4.3,4.31,5083,4.3
1615837500000,4.29,4.26,4.29,3395,4.28
1615837800000,4.26,4.2,4.29,14388,4.21
1615838100000,4.205,4.2,4.21,33867,4.2
1615838400000,4.2,4.2,4.2,1300,4.2
1615896000000,4.29,4.15,4.29,700,4.15
1615896900000,4.15,4.15,4.15,400,4.15
1615897800000,4.2,4.2,4.2,100,4.2
1615898700000,4.2,4.14,4.2,700,4.14
1615899000000,4.22,4.22,4.22,285,4.22
1615899900000,4.25,4.25,4.25,255,4.25
1615900200000,4.15,4.15,4.19,745,4.19
1615901100000,4.18,4.14,4.18,354,4.14
1615901400000,4.23,4.21,4.34,15681,4.27
1615901700000,4.25,4.21,4.29,35762,4.21
1615902000000,4.23,4.21,4.27,13005,4.25
1615902300000,4.22,4.21,4.24,15445,4.21
1615902600000,4.215,4.2,4.22,6055,4.21
1615902900000,4.21,4.15,4.21,60437,4.16
1615903200000,4.17,4.14,4.17,13601,4.14
1615903500000,4.15,4.15,4.17,21083,4.1601
1615903800000,4.16,4.16,4.17,5510,4.165
1615904100000,4.16,4.11,4.2,56543,4.12
1615904400000,4.11,4.09,4.14,17883,4.14
1615904700000,4.13,4.1,4.14,23607,4.12
1615905000000,4.114,4.1,4.13,8254,4.1
1615905300000,4.11,4.1,4.15,6566,4.15
1615905600000,4.15,4.12,4.17,5270,4.17
1615905900000,4.17,4.15,4.18,4377,4.15
1615906200000,4.14,4.12,4.15,17562,4.125
1615906500000,4.13,4.12,4.14,4179,4.12
1615906800000,4.12,4.11,4.14,2803,4.13
1615907100000,4.14,4.12,4.15,7203,4.15
1615907400000,4.15,4.12,4.15,1362,4.13
1615907700000,4.13,4.13,4.15,1268,4.15
1615908000000,4.15,4.13,4.17,9301,4.17
1615908300000,4.14,4.13,4.18,1302,4.18
1615908600000,4.17,4.13,4.17,533,4.13
1615908900000,4.16,4.13,4.16,1575,4.15
1615909200000,4.154,4.154,4.16,1437,4.16
1615909500000,4.17,4.13,4.17,4502,4.15
1615909800000,4.15,4.15,4.17,2185,4.163
1615910100000,4.17,4.16,4.17,1405,4.16
1615910400000,4.15,4.13,4.15,11549,4.13
1615910700000,4.13,4.11,4.13,3912,4.11
1615911000000,4.1,4.1,4.13,5099,4.13
1615911300000,4.11,4.11,4.12,3261,4.12
1615911600000,4.11,4.11,4.14,4857,4.14
1615911900000,4.14,4.1,4.14,11463,4.11
1615912200000,4.11,4.11,4.12,1300,4.12
1615912500000,4.1,4.1,4.13,2719,4.13
1615912800000,4.13,4.1,4.13,1965,4.12
1615913100000,4.13,4.12,4.13,1903,4.12
1615913400000,4.12,4.12,4.13,2787,4.13
1615913700000,4.12,4.12,4.125,1181,4.125
1615914000000,4.12,4.12,4.13,2035,4.12
1615914300000,4.13,4.12,4.13,1617,4.12
1615914600000,4.11,4.1,4.12,1766,4.11
