timestamp,open,high,low,volume,close
1615892400000,5.15,5.1,5.17,8940,5.1
1615892700000,5.1,5.08,5.1,3202,5.08
1615893000000,5.08,5.08,5.08,1985,5.08
1615893600000,5.05,5.0,5.05,1370,5.0
1615893900000,5.0,5.0,5.01,560,5.0
1615894200000,5.0,4.93,5.0,2539,4.93
1615894500000,4.94,4.93,4.97,600,4.97
1615894800000,4.93,4.92,4.94,400,4.94
1615895100000,4.95,4.94,4.95,1394,4.94
1615895400000,4.94,4.94,4.95,200,4.95
1615895700000,4.95,4.95,5.0,1426,5.0
1615896000000,4.99,4.96,4.99,6597,4.96
1615896300000,4.96,4.92,4.96,1586,4.92
1615896600000,4.92,4.9,4.92,4913,4.9
1615896900000,4.89,4.82,4.89,3342,4.84
1615897200000,4.84,4.79,4.84,19738,4.8
1615897500000,4.8,4.79,4.85,12288,4.85
1615897800000,4.82,4.78,4.85,15192,4.8001
1615898100000,4.81,4.76,4.81,15049,4.77
1615898400000,4.77,4.76,4.8,15104,4.8
1615898700000,4.76,4.76,4.8,6180,4.79
1615899000000,4.8,4.77,4.81,30956,4.81
1615899300000,4.8,4.78,4.81,6112,4.8
1615899600000,4.8,4.75,4.81,17770,4.75
1615899900000,4.73,4.68,4.74,16635,4.73
1615900200000,4.7,4.7,4.78,18658,4.75
1615900500000,4.73,4.66,4.73,14169,4.73
1615900800000,4.735,4.67,4.75,15125,4.7
1615901100000,4.67,4.6,4.7,65315,4.68
1615901400000,4.7,4.66,4.89,782783,4.7473
1615901700000,4.7499,4.66,4.79,582035,4.6899
1615902000000,4.69,4.55,4.72,492858,4.575
1615902300000,4.5781,4.5,4.65,499561,4.6281
1615902600000,4.625,4.61,4.6981,239180,4.6799
1615902900000,4.675,4.675,4.77,273433,4.7189
1615903200000,4.715,4.59,4.77,330789,4.6181
1615903500000,4.615,4.55,4.66,166840,4.61
1615903800000,4.605,4.57,4.71,684165,4.585
1615904100000,4.58,4.5601,4.6,140973,4.5619
1615904400000,4.5601,4.44,4.57,547690,4.44
1615904700000,4.445,4.43,4.495,205168,4.4501
1615905000000,4.46,4.43,4.54,277959,4.53
1615905300000,4.5396,4.53,4.59,98543,4.5881
1615905600000,4.5881,4.47,4.59,140255,4.4862
1615905900000,4.49,4.41,4.5,140617,4.44
1615906200000,4.4375,4.43,4.53,158014,4.5281
1615906500000,4.52,4.45,4.53,148700,4.46
1615906800000,4.46,4.45,4.48,83428,4.4781
1615907100000,4.48,4.48,4.55,237304,4.5399
1615907400000,4.5399,4.5,4.55,211852,4.5101
1615907700000,4.52,4.5,4.545,132128,4.535
1615908000000,4.54,4.5,4.55,58548,4.502
1615908300000,4.51,4.51,4.5619,89998,4.53
1615908600000,4.5314,4.527,4.585,62452,4.5819
1615908900000,4.5899,4.585,4.662,238923,4.62
1615909200000,4.6279,4.59,4.63,113749,4.6168
1615909500000,4.6179,4.57,4.6199,61190,4.6
1615909800000,4.5981,4.59,4.65,71975,4.6423
1615910100000,4.6481,4.64,4.6901,81997,4.6901
1615910400000,4.7,4.66,4.75,237594,4.7301
1615910700000,4.7388,4.67,4.7399,191072,4.71
1615911000000,4.7001,4.6,4.71,337564,4.615
1615911300000,4.613,4.58,4.65,140062,4.595
1615911600000,4.5901,4.585,4.62,50065,4.6
1615911900000,4.59,4.59,4.62,44580,4.5994
1615912200000,4.5901,4.59,4.66,63048,4.65
1615912500000,4.6501,4.63,4.67,44547,4.66
1615912800000,4.67,4.64,4.7,56752,4.65
1615913100000,4.6519,4.61,4.66,32873,4.62
1615913400000,4.615,4.6,4.63,64844,4.63
1615913700000,4.63,4.63,4.68,56396,4.6799
1615914000000,4.68,4.65,4.69,46531,4.6506
1615914300000,4.6519,4.6421,4.7,48040,4.6821
1615914600000,4.69,4.685,4.7099,54868,4.691
1615914900000,4.69,4.68,4.7,64630,4.69
1615915200000,4.6983,4.69,4.73,66353,4.73
1615915500000,4.73,4.72,4.75,122104,4.7386
1615915800000,4.735,4.67,4.74,66517,4.67
1615916100000,4.67,4.655,4.6781,65540,4.66
1615916400000,4.67,4.65,4.6788,40566,4.66
1615916700000,4.66,4.6545,4.6999,52449,4.69
1615917000000,4.69,4.6825,4.7295,68673,4.7
1615917300000,4.71,4.65,4.75,178169,4.65
1615917600000,4.655,4.6401,4.715,86182,4.71
1615917900000,4.7121,4.66,4.72,42028,4.66
1615918200000,4.66,4.61,4.66,97509,4.623
1615918500000,4.62,4.62,4.66,58634,4.6399
1615918800000,4.63,4.59,4.6381,95770,4.6
1615919100000,4.595,4.55,4.6,166586,4.5575
1615919400000,4.55,4.535,4.57,115092,4.54
1615919700000,4.5301,4.5,4.54,154165,4.5075
1615920000000,4.5019,4.445,4.52,164049,4.455
1615920300000,4.455,4.45,4.51,114686,4.51
1615920600000,4.505,4.505,4.565,107535,4.5301
1615920900000,4.5381,4.48,4.57,135878,4.5125
1615921200000,4.51,4.48,4.53,92385,4.5281
1615921500000,4.525,4.525,4.57,60706,4.565
1615921800000,4.57,4.55,4.575,64302,4.56
1615922100000,4.55,4.54,4.56,48653,4.55
1615922400000,4.55,4.52,4.55,38703,4.5301
1615922700000,4.54,4.5219,4.545,46981,4.545
1615923000000,4.545,4.5185,4.555,70756,4.555
1615923300000,4.5597,4.54,4.56,22046,4.54
1615923600000,4.55,4.51,4.57,142042,4.57
1615923900000,4.57,4.57,4.62,115110,4.5999
1615924200000,4.6,4.58,4.63,209693,4.59
1615924500000,4.59,4.55,4.61,344014,4.58
1615924800000,4.58,4.55,4.6,98889,4.55
1615925100000,4.55,4.45,4.56,2122,4.45
1615925400000,4.45,4.45,4.5,1596,4.5
1615925700000,4.52,4.52,4.52,222,4.52
1615926600000,4.52,4.51,4.52,3600,4.51
1615926900000,4.5,4.46,4.5,1774,4.46
1615927200000,4.48,4.47,4.5,20475,4.47
1615927500000,4.47,4.47,4.48,1351,4.48
1615927800000,4.48,4.48,4.5,600,4.5
1615928100000,4.5,4.5,4.5,250,4.5
